Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
8VwmbW9VehM9XEc5tLinSAhag8TcrfcMnagmWKEGtxN7,725007.97,,,
7ZXUECYy7kTuKJP1M6s8idF5q3cYfoLmNg3FiMnEoZ7b,724165.54,,,
4bvsT2fGPMVJ2CkdD1KmQYeJRPB5Xt3hsbPUcHwNj9JV,718669.32,,,
DoazN4C8ijbPrXnG9ZnLMqgVPpLCHGDDWBEE7JrH5hra,712574.05,,,
Gs14xp1gR3Yg1Tn54cpuUREB4PQF9WcfrnA1Tu9sQajS,712507.48,,,
62ziuaiV5ANFcVDVF5xdry3spZH61AYsE6KikZZG5ErJ,712018.86,,,
BY4StcU9Y2BpgH8quZzorg31EGE4L1rjomN8FNsCBEcx,709907.46,,,
GV9kvNR1x2KVX3kaacQRrcUjaZTzf67PBZcfVD8JA9Ad,705175.71,,,
3Ln6KEgLoMR2xFHfqtYazP7CxFQPDtUVVtwCVsLKVfmV,703958.69,,,
9fs3ysjp2B5p7uoeEstjeDqKUivrTKeDGSw3tZxFJMj8,702763.99,,,
wFGW2LYWuhwX2S4XwzmrXS8hUZy6Yxuyu7QmcoWf8Ev,700193.89,,,
Atog29wj5uMKNktmxyAsBx1Xg7je6sGBPvv2o699KrXo,700000.01,,,
Fhbi8PKZ8idVoWLXLkdbjhY7KQUWUioCke3vN7dDdPyU,700000.00,,,
EKuXVPeWXkfQrvzyRwwLP169yMzStJKr7DBV7RQKP5Nh,700000.00,,,
2zuKYsgp3QxNTNXsSFXpZUBQoRnCoFnnGKTyRptogg6Z,700000.00,,,
ED83xdNpzTBSpujgQoKNg1zJoLnnu25TZij6DdEuZs2L,700000.00,,,
6cHQZZQZHktBbJ3QSTMT9MVEJzGKDwTQvr2vGymZtv8p,700000.00,,,
E2hYvTqeZpvSVsEthRUYRa9Y4Rxy9q8rho4hwyXDqFaT,695011.18,,,
B5sTcNpS2zsemMpgNyUsqSDJVrMXvDQeiX7X19WAwvtB,693685.20,,,
Cv1pufXc7KZ8g8vQqZejhfq7ZyLGkwW3HpuPWs8AmVi7,690420.64,,,
